rt,muziek,gender,geboortejaar,woonplaats,godsdienst,moedertaal,diploma_vader,diploma_moeder,secundair,uren_wiskunde,uren_nederlands,vakken_hernemen,studie_efficientie,inschrijving_ozt,traject,keuze_2ti,leerstoornis,beweging_ud,sport_uw,boeken_m,alcohol_w,frq_cannabis,uur_slaap,slaapkwaliteit,slaappatroon,wakker_worden,score_1,uren_slaap_1,interessant_1,uitgerust_1,gestresseerd_1,onthouden_1,score_2,uren_slaap_2,interessant_2,uitgerust_2,gestresseerd_2,onthouden_2
Nee,Ja,Man,1999,Platteland,christen,Nederlands,Hoger secundair,Lager secundair,ASO,4,3,Nee,75-100%,1,model,Programmeren,,8,1,0,3,Nooit,7,Zeer goed,"Noch onregelmatig, noch regelmatig",Nooit,10,7,Eens,Eens,Eens,Helemaal eens,13,7,"Noch eens, noch oneens",Eens,Eens,"Noch eens, noch oneens"
Ja ,Nee,Man,1998,Stad,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,5,2,Ja,0-24%,2,aangepast,Programmeren,AD(H)D;Tinitus (oorsuizingen);,3,4,0,10,Maandelijks,5,Slecht,Onregelmatig,Af en toe,19,4,Eens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",14,6,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,Eens
Ja ,Nee,Man,1998,Stad,christen,Frans,Hoger secundair,Lager secundair,ASO,6,4,Ja,75-100%,1,aangepast,Programmeren,,1,5,0.2,4,Nooit,7,Goed,Onregelmatig,Zelden,7,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",7,7,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Vrouw,1997,Stad,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,3,5,Ja,25-49%,2,aangepast,Programmeren,,2,2,0,2,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,,,,,,,12,7.5,Eens,Eens,Oneens,Helemaal eens
Ja ,Nee,Man,1997,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,4,3,Ja,75-100%,2,aangepast,Systeembeheer,,1,3,0,0,Nooit,6,Goed,"Noch onregelmatig, noch regelmatig",Nooit,14,6,Oneens,Eens,"Noch eens, noch oneens",Helemaal eens,14,6,Oneens,"Noch eens, noch oneens",Oneens,Eens
Ja ,Ja,Vrouw,1999,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,3,Nee,75-100%,1,model,Programmeren,GEEN;,2,9,0,0,Nooit,7,Goed,Onregelmatig,Zelden,,,,,,,,,,,,
Ja ,Nee,Man,1993,Stad,christen,Nederlands,Master of equivalent universiteit,Weet niet,ASO,6,4,Ja,50-74%,3,aangepast,Programmeren,,4.5,2,0,5,Nooit,7,Slecht,Onregelmatig,Nooit,16,9,Eens,Eens,Helemaal oneens,Eens,12,8,Eens,Oneens,Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1998,Platteland,christen,Nederlands,Hoger secundair,Master of equivalent universiteit,ASO,4,4,Ja,75-100%,1,model,Systeembeheer,,1,0,1,10,Nooit,7,Slecht,Onregelmatig,Af en toe,7,7,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal eens,7,6,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens",Helemaal oneens
Ja ,Ja,Man,1998,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,5,4,Ja,75-100%,1,aangepast,Programmeren,,3,10,0,5,Nooit,7,Zeer goed,Regelmatig,Nooit,12,6,Eens,Helemaal eens,Oneens,Eens,10,7,Eens,Oneens,Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1997,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,3,Ja,50-74%,1,aangepast,Systeembeheer,AD(H)D;,2,0,0,2,Nooit,7,"Noch slecht, noch goed",Regelmatig,Meestal,7,,,,,,3,8,Oneens,"Noch eens, noch oneens",Oneens,Eens
Ja ,Nee,Man,1995,,agnost,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,5,5,Nee,75-100%,1,model,Programmeren,AD(H)D;Tinitus (oorsuizingen);Paniekaanvallen;Nachtmerries;,1,4,0,1,Zelden,7,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Zelden,18,7.5,Eens,"Noch eens, noch oneens",Oneens,Helemaal eens,16,6,Eens,Helemaal oneens,"Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1995,Platteland,christen,Nederlands,Lager secundair,Hoger secundair,TSO,4,2,Ja,75-100%,2,aangepast,Programmeren,,1.5,5,0,20,Nooit,6.5,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Nooit,11,6.5,Oneens,Eens,Oneens,Eens,10,2.5,Oneens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens"
Ja ,Nee,Man,1998,Stad,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,3,Ja,50-74%,1,aangepast,Programmeren,Dyslexie;,4,8,0,15,Nooit,7,"Noch slecht, noch goed",Zeer onregelmatig,Nooit,12,3,Eens,Helemaal oneens,Eens,Eens,,,,,,
Nee,Ja,Man,1997,Stad,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,6,5,Nee,75-100%,1,model,Programmeren,,8,6,0,1,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Zelden,13,7,"Noch eens, noch oneens",Oneens,Eens,Oneens,10,7,Eens,Eens,Oneens,Eens
Nee,Nee,Man,,Dorp,,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,4,4,Ja,50-74%,1,aangepast,Systeembeheer,,1.5,7,0,0.1,Nooit,7,Goed,Onregelmatig,Zelden,9,6,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens",8,8,Eens,Helemaal eens,Oneens,Eens
Ja ,Ja,Man,1998,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,3,5,Nee,75-100%,1,model,Programmeren,,1.5,2,0.8,4,Zelden,7,"Noch slecht, noch goed",Regelmatig,Af en toe,14,8,Eens,Eens,Oneens,Helemaal eens,11,9,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens
Ja ,Ja,Man,1997,Platteland,agnost,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,3,5,Ja,75-100%,1,aangepast,Programmeren,Dyslexie;,1,3,1,5,Zelden,8,Goed,"Noch onregelmatig, noch regelmatig",Zelden,8,6,Eens,"Noch eens, noch oneens",Helemaal oneens,Eens,6,8,Eens,Helemaal eens,"Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1997,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,ASO,7,4,Ja,75-100%,1,aangepast,Programmeren,Dyslexie;,1,7,0,5,Zelden,7,Goed,"Noch onregelmatig, noch regelmatig",Zelden,11,5,Eens,"Noch eens, noch oneens",Oneens,Eens,12,8,,,,
Ja ,Ja,Man,1998,Stad,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,ASO,8,4,Ja,75-100%,1,aangepast,Programmeren,,1,3,1,2,Nooit,7,Goed,"Noch onregelmatig, noch regelmatig",Zelden,19,8,Eens,Eens,Helemaal oneens,Helemaal eens,17,7,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1998,Stad,atheïst,Nederlands,Lager secundair,Hoger secundair,ASO,5,4,Ja,75-100%,2,aangepast,Systeembeheer,Nachtmerries OZT en POD;,2,10,0,1,Nooit,8,Goed,Regelmatig,Nooit,9,6,"Noch eens, noch oneens",Eens,Oneens,Eens,3,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1995,Platteland,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,8,4,Nee,75-100%,1,aangepast,Programmeren,,1,0,0,0,Nooit,7,Goed,"Noch onregelmatig, noch regelmatig",Af en toe,19,5,Eens,Oneens,Oneens,Helemaal eens,14,9,,,,
Nee,Nee,Man,1999,Platteland,atheïst,Nederlands,Bachelor of equivalent,Master of equivalent universiteit,ASO,3,4,Nee,75-100%,1,model,Systeembeheer,AD(H)D;,1.5,2,0,2,Dagelijks,6.5,Zeer goed,Regelmatig,Nooit,11,6.5,Oneens,Eens,Oneens,"Noch eens, noch oneens",13,5.75,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1996,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,4,4,Ja,50-74%,3,aangepast,Programmeren,,3,7,0,15,Nooit,6,Slecht,"Noch onregelmatig, noch regelmatig",Zelden,11,9,Eens,"Noch eens, noch oneens",Oneens,Eens,8,7,Eens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1997,Platteland,christen,Nederlands,Doctoraat,Hoger secundair,TSO,3,2,Ja,50-74%,1,aangepast,Programmeren,,1,2,0,0,Nooit,5,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Zelden,3,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",4,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
